# packages in environment at /home/anupam/miniforge3/envs/rapids-gcc14:
#
# Name                           Version          Build                              Channel
_openmp_mutex                    4.5              20_gnu                             conda-forge
_python_abi3_support             1.0              hd8ed1ab_3                         conda-forge
armadillo                        14.6.3           h7dbe251_0                         conda-forge
arpack                           3.9.1            nompi_hf03ea27_102                 conda-forge
binutils_impl_linux-64           2.46.1           default_hfdba357_102               conda-forge
binutils_linux-64                2.46.1           default_h4852527_102               conda-forge
bzip2                            1.0.8            hda65f42_9                         conda-forge
c-ares                           1.34.8           hb03c661_0                         conda-forge
ca-certificates                  2026.7.22        hbd8a1cb_0                         conda-forge
cereal                           1.3.2            hd8ed1ab_1                         conda-forge
cmake                            4.4.0            hc85cc9f_0                         conda-forge
cpython                          3.12.13          py312hd8ed1ab_0                    conda-forge
cuda-bindings                    12.9.7           py312h6ec95bb_1                    conda-forge
cuda-cccl_linux-64               12.9.27          ha770c72_0                         conda-forge
cuda-core                        1.1.0            cuda12_py312h9217ada_1             conda-forge
cuda-crt-dev_linux-64            12.9.86          ha770c72_2                         conda-forge
cuda-crt-tools                   12.9.86          ha770c72_2                         conda-forge
cuda-cudart                      12.9.79          h5888daf_0                         conda-forge
cuda-cudart-dev                  12.9.79          h5888daf_0                         conda-forge
cuda-cudart-dev_linux-64         12.9.79          h3f2d84a_0                         conda-forge
cuda-cudart-static               12.9.79          h5888daf_0                         conda-forge
cuda-cudart-static_linux-64      12.9.79          h3f2d84a_0                         conda-forge
cuda-cudart_linux-64             12.9.79          h3f2d84a_0                         conda-forge
cuda-nvcc-dev_linux-64           12.9.86          he91c749_2                         conda-forge
cuda-nvcc-impl                   12.9.86          h85509e4_2                         conda-forge
cuda-nvcc-tools                  12.9.86          he02047a_2                         conda-forge
cuda-nvml-dev                    12.9.79          hffce074_1                         conda-forge
cuda-nvrtc                       12.9.86          hecca717_1                         conda-forge
cuda-nvvm-dev_linux-64           12.9.86          ha770c72_2                         conda-forge
cuda-nvvm-impl                   12.9.86          h4bc722e_2                         conda-forge
cuda-nvvm-tools                  12.9.86          h4bc722e_2                         conda-forge
cuda-pathfinder                  1.5.6            pyhc364b38_0                       conda-forge
cuda-profiler-api                12.9.79          h7938cbb_1                         conda-forge
cuda-python                      12.9.7           py_min_310_1                       conda-forge
cuda-version                     12.9             h4f385c5_3                         conda-forge
cudnn                            9.10.2.21        hbcb9cd8_0                         conda-forge
ensmallen                        2.22.2           h86bb66b_0                         conda-forge
gcc_impl_linux-64                14.3.0           h235f0fe_19                        conda-forge
gcc_linux-64                     14.3.0           h50e9bb6_27                        conda-forge
gxx_impl_linux-64                14.3.0           h2185e75_19                        conda-forge
gxx_linux-64                     14.3.0           hd240bd5_27                        conda-forge
icu                              78.3             h33c6efd_0                         conda-forge
kernel-headers_linux-64          5.14.0           he073ed8_3                         conda-forge
keyutils                         1.6.3            hb9d3cd8_0                         conda-forge
krb5                             1.22.2           hbde042b_1                         conda-forge
ld_impl_linux-64                 2.46.1           default_hbd61a6d_102               conda-forge
libabseil                        20260526.0       cxx17_h7b12aa8_1                   conda-forge
libblas                          3.11.0           8_h4a7cf45_openblas                conda-forge
libcap                           2.78             hd0affe5_0                         conda-forge
libcblas                         3.11.0           8_h0358290_openblas                conda-forge
libcublas                        12.9.2.10        h676940d_0                         conda-forge
libcublas-dev                    12.9.2.10        h676940d_0                         conda-forge
libcudnn                         9.10.2.21        hf7e9902_0                         conda-forge
libcudnn-dev                     9.10.2.21        h58dd1b1_0                         conda-forge
libcufft                         11.4.1.4         hecca717_1                         conda-forge
libcufile                        1.14.1.1         hbc026e6_1                         conda-forge
libcuml                          26.06.00         cuda12_260604_62cd4972             rapidsai
libcurand                        10.3.10.19       h676940d_1                         conda-forge
libcurand-dev                    10.3.10.19       h676940d_1                         conda-forge
libcurl                          8.21.0           hae6b9f4_2                         conda-forge
libcusolver                      11.7.5.82        h676940d_2                         conda-forge
libcusolver-dev                  11.7.5.82        h676940d_2                         conda-forge
libcusparse                      12.5.10.65       hecca717_2                         conda-forge
libcusparse-dev                  12.5.10.65       hecca717_2                         conda-forge
libcuvs                          26.06.00         cuda12_260604_2bd7cd71             rapidsai
libcuvs-headers                  26.06.00         cuda12_260604_2bd7cd71             rapidsai
libedit                          3.1.20250104     pl5321h7949ede_0                   conda-forge
libev                            4.33             hd590300_2                         conda-forge
libexpat                         2.8.1            hecca717_1                         conda-forge
libffi                           3.5.2            h3435931_0                         conda-forge
libgcc                           15.2.0           he0feb66_19                        conda-forge
libgcc-devel_linux-64            14.3.0           hf649bbc_119                       conda-forge
libgcc-ng                        15.2.0           h69a702a_19                        conda-forge
libgfortran                      15.2.0           h69a702a_19                        conda-forge
libgfortran-ng                   15.2.0           h69a702a_19                        conda-forge
libgfortran5                     15.2.0           h68bc16d_19                        conda-forge
libgomp                          15.2.0           he0feb66_19                        conda-forge
liblapack                        3.11.0           8_h47877c9_openblas                conda-forge
liblzma                          5.8.3            hb03c661_0                         conda-forge
libnghttp2                       1.68.1           h877daf1_0                         conda-forge
libnl                            3.11.0           hb9d3cd8_0                         conda-forge
libnsl                           2.0.1            hb9d3cd8_1                         conda-forge
libnvforest                      26.06.00         cuda12_260604_a9216c61             rapidsai
libnvjitlink                     12.9.86          hecca717_2                         conda-forge
libnvptxcompiler-dev             12.9.86          ha770c72_2                         conda-forge
libnvptxcompiler-dev_linux-64    12.9.86          ha770c72_2                         conda-forge
libopenblas                      0.3.33           pthreads_h94d23a6_0                conda-forge
libpsl                           0.22.0           h49b2146_1                         conda-forge
libraft-headers                  26.06.00         cuda12_260603_4f467df5             rapidsai
libraft-headers-only             26.06.00         cuda12_260603_4f467df5             rapidsai
librmm                           26.06.00         cuda12_260603_87184183             rapidsai
libsanitizer                     14.3.0           h8f1669f_19                        conda-forge
libsqlite                        3.53.3           h0c1763c_0                         conda-forge
libssh2                          1.11.1           hcf80075_0                         conda-forge
libstdcxx                        15.2.0           h934c35e_19                        conda-forge
libstdcxx-devel_linux-64         14.3.0           h9f08a49_119                       conda-forge
libsystemd0                      261.1            h6f4a2f1_0                         conda-forge
libucxx                          0.50.01          cuda12_260608_b12cd9f0             rapidsai
libudev1                         261.1            h6f4a2f1_0                         conda-forge
libuuid                          2.42.2           h5347b49_0                         conda-forge
libuv                            1.52.1           h280c20c_0                         conda-forge
libxcrypt                        4.4.36           hd590300_1                         conda-forge
libzlib                          1.3.2            h25fd6f3_2                         conda-forge
ml-dtypes                        0.6.0            pypi_0                             pypi
nccl                             2.30.7.1         h4d09622_0                         conda-forge
ncurses                          6.6              hdb14827_0                         conda-forge
ninja                            1.13.2           h171cf75_0                         conda-forge
numpy                            2.5.1            py312h33ff503_0                    conda-forge
nvidia-ml-py                     13.610.43        pyhd8ed1ab_0                       conda-forge
onnx                             1.22.0           pypi_0                             pypi
onnxruntime                      1.29.0           pypi_0                             pypi
openssl                          3.6.3            h35e630c_1                         conda-forge
packaging                        26.2             pyhc364b38_0                       conda-forge
pandas                           3.0.5            pypi_0                             pypi
pip                              26.1.2           pyh8b19718_0                       conda-forge
pkg-config                       0.29.2           h4bc722e_1009                      conda-forge
protobuf                         7.35.1           py312h7bd0bee_1                    conda-forge
python                           3.12.13          hd63d673_0_cpython                 conda-forge
python-dateutil                  2.9.0.post0      pypi_0                             pypi
python-flatbuffers               25.12.19         pyh9d96877_0                       conda-forge
python-gil                       3.12.13          hd8ed1ab_0                         conda-forge
python_abi                       3.12             8_cp312                            conda-forge
rapids-logger                    0.2.3            h98325ef_0                         rapidsai
rdma-core                        63.0             h192683f_1                         conda-forge
readline                         8.3              h853b02a_0                         conda-forge
rhash                            1.4.6            hb9d3cd8_1                         conda-forge
rmm                              26.06.00         cuda12_cp311_abi3_260603_87184183  rapidsai
scipy                            1.18.0           py312h54fa4ab_0                    conda-forge
setuptools                       83.0.0           pyh332efcf_0                       conda-forge
six                              1.17.0           pypi_0                             pypi
superlu                          5.2.2            h00795ac_0                         conda-forge
sysroot_linux-64                 2.34             h087de78_3                         conda-forge
tk                               8.6.13           noxft_hd70dff1_3                   conda-forge
treelite                         4.7.0            py312h51dcb72_0                    conda-forge
typing-extensions                4.16.0           pypi_0                             pypi
tzdata                           2026c            h151e31d_0                         conda-forge
ucx                              1.20.1           hbe80e26_0                         conda-forge
ucxx                             0.50.01          cuda12_cp311_abi3_260608_b12cd9f0  rapidsai
wheel                            0.47.0           pyhd8ed1ab_0                       conda-forge
zstd                             1.5.7            hb78ec9c_6                         conda-forge
