Model,Run,Backend,PredictRows,AvgAccuracy,AvgPredictionTime(ms),AvgThroughput(samples/sec),AvgCPU(%)
Kmeans Inference,0,cpu,1000,0.0,1.0947506874799728,913449.9858610901,294.7
Kmeans Inference,0,cpu,10000,0.0,3.6414269357919693,2746176.204088827,1532.2
Kmeans Inference,0,cpu,30000,0.0,10.632428526878357,2821556.7049579686,1507.6333333333332
Kmeans Inference,0,cpu,50000,0.0,15.135866031050682,3303411.9023930845,1299.7375
Kmeans Inference,0,cpu,70000,0.0,21.315933391451836,3283928.4451916874,1079.4666666666665
Kmeans Inference,0,gpu,1000,0.0,6.769975647330284,147711.01878251904,85.875
Kmeans Inference,0,gpu,10000,0.0,7.349316775798798,1360670.6997485626,85.52499999999999
Kmeans Inference,0,gpu,30000,0.0,8.124293386936188,3692628.831971998,67.82000000000001
Kmeans Inference,0,gpu,50000,0.0,8.669587224721909,5767287.265698377,97.82000000000001
Kmeans Inference,0,gpu,70000,0.0,9.408341720700264,7440205.944686913,103.96
Knn Inference,0,cpu,1000,0.999,647.3736576735973,1544.7029519143566,1178.2839869281042
Knn Inference,0,cpu,10000,0.9984,7564.313875883818,1321.996966820946,1333.7836126100513
Knn Inference,0,cpu,30000,0.9986,22245.129263028502,1348.6098302813698,1348.537588583635
Knn Inference,0,cpu,50000,0.9986599999999999,43975.75808130205,1136.9900641066922,1180.8198960508953
Knn Inference,0,cpu,70000,0.9986714285714285,39354.96154241264,1778.682973036611,1152.3577955517392
Knn Inference,0,gpu,1000,0.999,60.69754585623741,16475.130681041166,100.32999999999997
Knn Inference,0,gpu,10000,0.9984,413.3928142488003,24190.067304802025,100.06617647058837
Knn Inference,0,gpu,30000,0.9986,1234.5196310430765,24300.950139328485,100.57812499999905
Knn Inference,0,gpu,50000,0.9986599999999999,2046.5658381581306,24431.171022085968,101.1280753968262
Knn Inference,0,gpu,70000,0.9986714285714285,2903.7694443017244,24106.597077590315,100.87410776767162
Random Forest Inference,0,cpu,1000,0.9960000000000001,47.57547155022621,21019.23464792742,105.33
Random Forest Inference,0,cpu,10000,0.9978999999999999,54.18964810669422,184537.09055853175,219.06800000000004
Random Forest Inference,0,cpu,30000,0.9978,69.61097717285156,430966.5115820278,361.6575757575758
Random Forest Inference,0,cpu,50000,0.99786,99.412577226758,502954.4690904758,446.61333333333334
Random Forest Inference,0,cpu,70000,0.9978428571428571,116.20245799422264,602396.8959716865,507.96909090909105
Random Forest Inference,0,gpu,1000,0.9949999999999999,8.488120511174202,117811.71092982813,88.06
Random Forest Inference,0,gpu,10000,0.9955999999999999,9.505315497517586,1052042.9335156318,98.16000000000001
Random Forest Inference,0,gpu,30000,0.9953666666666667,10.586193576455116,2833879.78722809,89.63333333333333
Random Forest Inference,0,gpu,50000,0.99542,10.768445953726768,4643195.519098639,83.91428571428571
Random Forest Inference,0,gpu,70000,0.9952857142857143,11.33689247071743,6174531.528882906,98.14285714285712
